rain[mm]	 temperature[°C]	 irradiance[mümol/s/m2]	 day_length[h]	 PET[mm]	co2[ppm]
10.5	23.9	1147.9	12	4.3	400
53.6	18.1	1137.3	12	3.9	400
0	24.4	1270.3	12	4.3	400
0	24.1	1083.7	12	4.3	400
9.8	25	1188.1	12	4.4	400
8.2	27.4	1034.1	12	4.5	400
19.4	24.6	1158.8	12	4.3	400
63.7	22.2	1032.6	12	4.1	400
0	25.7	1284.8	12	4.4	400
7.2	22	1234.1	12	4.1	400
0	26.4	927.1	12	4.4	400
4	28.9	1003.7	12	4.5	400
0	27.1	1217.7	12	4.4	400
20.2	24	894.5	12	4.2	400
0	25.3	1199	12	4.3	400
0	26.7	1063.7	12	4.3	400
10.5	24.4	1122.6	12	4.2	400
0	26.1	1116.2	12	4.3	400
0	23.6	1179.7	12	4.1	400
0	21.3	1222.9	12	3.9	400
5.7	20.1	980.1	12	3.8	400
0	19.2	1175.4	12	3.7	400
20.9	21.9	1186.2	12	3.9	400
31.4	26.7	1053.3	12	4.2	400
62.8	22.4	895.4	12	3.9	400
27.6	26.1	1164.6	12	4.2	400
0	24.7	913.7	12	4.1	400
0	25.7	1066	12	4.1	400
6.6	27.9	1254.7	12	4.2	400
0	23	1147.3	12	3.9	400
8.2	25.5	1133.4	12	4.1	400
15.2	27.8	1002.1	12	4.2	400
0	20.1	1050.2	12	3.7	400
20.2	22.7	1105.1	12	3.8	400
15.6	26.6	1028.2	12	4.1	400
21	23.7	1091.4	12	3.9	400
27.2	25.1	1077.8	12	3.9	400
0	24.5	889.3	12	3.9	400
18.1	26.1	1066.8	12	4	400
1.2	21.4	1029.8	12	3.6	400
1.1	30	751.8	12	4.2	400
0.9	19.4	907.1	12	3.5	400
0	24	904.3	12	3.8	400
0	23.8	994.5	12	3.7	400
7.2	29.1	821.4	12	4	400
19.8	22.5	1006.5	12	3.6	400
8.6	23.3	920.2	12	3.6	400
14	27.7	950.4	12	3.9	400
3.2	24.8	888.7	12	3.7	400
16.6	26.8	965.6	12	3.8	400
22.8	21.6	905.1	12	3.5	400
1.2	22.5	1017.2	12	3.5	400
37.4	24.4	1043.1	12	3.6	400
12.8	20.9	851.4	12	3.4	400
39.2	22	948.8	12	3.4	400
0	22.2	908.1	12	3.4	400
0	24.6	982	12	3.5	400
19.7	25.5	953.7	12	3.6	400
0	26.8	876.8	12	3.6	400
0	23.9	995.7	12	3.4	400
5	26.7	974.9	12	3.6	400
6.1	23.8	932.2	12	3.4	400
28.7	22.5	1003.1	12	3.3	400
75.5	23.3	1047.3	12	3.3	400
0	26.4	900.2	12	3.5	400
63.2	19.6	975.8	12	3.1	400
0	23.4	983.3	12	3.3	400
0	22.9	889.5	12	3.2	400
1.3	23.7	1090.8	12	3.3	400
0	23.8	758.3	12	3.2	400
0	23.1	862.1	12	3.2	400
3.6	26.1	742.1	12	3.3	400
0	27.2	823.1	12	3.4	400
0	20.8	852.7	12	3	400
2.6	21.7	814.3	12	3	400
24.4	21.8	958.8	12	3	400
0	24.2	982.5	12	3.1	400
0	18.6	933.5	12	2.8	400
0	24.6	712.9	12	3.1	400
0	25.9	937.9	12	3.2	400
2	22.2	1021.3	12	3	400
0	22.2	993.7	12	2.9	400
21.6	22.7	939.4	12	2.9	400
0	20.8	895.1	12	2.8	400
4.6	23.8	751.5	12	3	400
14	27.4	911.4	12	3.1	400
0	26	1016.5	12	3.1	400
0	23.1	853.6	12	2.9	400
14	23.3	741.9	12	2.9	400
14.8	24.3	960.5	12	2.9	400
0	25.4	978.5	12	3	400
10.3	20.5	790.8	12	2.7	400
0	20.1	867.4	12	2.7	400
23.9	24.7	744.8	12	2.9	400
32.9	19.3	847.6	12	2.6	400
1.7	23.1	867.2	12	2.8	400
0	21.5	928.9	12	2.7	400
7	23	1081.5	12	2.7	400
0	24.5	951	12	2.8	400
10	19.3	742.7	12	2.5	400
0	28	880.5	12	2.9	400
7	28.1	852.7	12	2.9	400
0	22.9	697.7	12	2.7	400
2.2	24.5	1074.2	12	2.7	400
0	24.5	689	12	2.7	400
8.6	21.8	782.2	12	2.6	400
0	19.5	885.6	12	2.5	400
5.2	23	674.6	12	2.6	400
0	27	734.5	12	2.8	400
2.6	26.7	931.6	12	2.8	400
7.7	24.6	773.7	12	2.7	400
