rain[mm]	 temperature[°C]	 irradiance[mümol/s/m2]	 day_length[h]	 PET[mm]	co2[ppm]
2.7	24.5	907.7	12	2.6	400
0	27.4	877.2	12	2.7	400
23.9	23.3	904.5	12	2.5	400
0	22.6	741	12	2.5	400
1.4	24.3	832.5	12	2.6	400
4.8	23.3	831.8	12	2.5	400
0	26.5	994	12	2.7	400
2.2	20.3	657	12	2.4	400
0	21.6	861	12	2.5	400
27.4	21.3	903.1	12	2.4	400
5.7	21.5	903.6	12	2.5	400
0	22.3	618.2	12	2.5	400
8.6	27.5	764	12	2.7	400
0.2	21.9	695.1	12	2.5	400
1.6	21.9	911.1	12	2.5	400
0	25.6	1052.3	12	2.7	400
0	24.9	898.1	12	2.6	400
19.6	25.6	761.5	12	2.7	400
0	22.6	843.3	12	2.5	400
13.4	23.2	795.1	12	2.6	400
9.4	28.4	747	12	2.8	400
0	25.3	885.1	12	2.7	400
22	25.2	1004.4	12	2.7	400
10.4	24.4	761.5	12	2.7	400
0	22.1	825.3	12	2.6	400
0	25.8	824.1	12	2.7	400
3.8	29.7	976.7	12	2.9	400
0	25.3	896.6	12	2.7	400
3.9	22	950.8	12	2.6	400
0	29	804.7	12	2.9	400
1.3	23.4	819.2	12	2.7	400
0	21.7	829.5	12	2.6	400
25.7	22.8	904.3	12	2.7	400
5.4	24.8	673.5	12	2.8	400
0	25.2	944.3	12	2.8	400
5.7	24.4	908.3	12	2.8	400
16.2	22.8	745.9	12	2.7	400
0	19.2	844.7	12	2.6	400
16.8	22.6	987.6	12	2.7	400
0	27.4	895.6	12	3	400
9.4	24.9	779.1	12	2.9	400
0	25.4	894.2	12	2.9	400
0.3	24.9	747.2	12	2.9	400
7.4	28	917.2	12	3.1	400
0	26.3	1051.9	12	3	400
7.6	22.7	779.4	12	2.8	400
4.7	24.3	888.4	12	2.9	400
0	28.1	870.6	12	3.1	400
6.4	26.5	830.9	12	3.1	400
0	21.5	808.7	12	2.8	400
0	25.7	960.7	12	3.1	400
0	27.9	932.9	12	3.2	400
14.4	21.5	690.8	12	2.9	400
0	21.7	947.5	12	2.9	400
2.6	23.6	913.1	12	3	400
3	17.9	955.8	12	2.7	400
0	26.1	907.8	12	3.2	400
9.8	26	1136.8	12	3.2	400
0	22.7	681	12	3.1	400
0	22.8	977.9	12	3.1	400
20.7	23.5	913	12	3.1	400
0	26.8	1049.8	12	3.3	400
6	27.3	913.9	12	3.4	400
0	19.5	797.1	12	3	400
9.2	22.5	858.6	12	3.1	400
8.3	26.3	810.9	12	3.4	400
9.2	25.5	805.3	12	3.3	400
2.7	23.8	990.6	12	3.3	400
25	21.8	916.5	12	3.2	400
0	23.2	971.8	12	3.3	400
0	23.9	1040.6	12	3.3	400
0.3	22.7	1017.1	12	3.3	400
0	21.9	830.2	12	3.3	400
3.3	21.7	983.3	12	3.3	400
0	20.1	1219.4	12	3.2	400
17.6	27.9	916	12	3.6	400
22	20.3	951.2	12	3.2	400
5.1	24.7	803.4	12	3.5	400
0	23.2	961.8	12	3.4	400
10.9	20.1	1085.8	12	3.3	400
0	23.7	894	12	3.5	400
0.1	19.1	978.7	12	3.2	400
0	23.8	988.9	12	3.5	400
42.6	20.9	913.5	12	3.4	400
5.4	23.4	889.5	12	3.6	400
3.8	26.3	863.5	12	3.7	400
0.7	19	951.5	12	3.3	400
12.5	28.1	853.5	12	3.9	400
5.1	25.1	931.7	12	3.7	400
12.2	20.8	1224.8	12	3.5	400
0	23.3	1102.9	12	3.7	400
0	23.9	1065.2	12	3.7	400
0	23.7	922.6	12	3.7	400
0	23.5	1089.7	12	3.7	400
5	21.8	898	12	3.6	400
6.6	25.7	1130.1	12	3.9	400
0	23.8	827.5	12	3.8	400
0	22.4	1130.2	12	3.7	400
1.9	24.4	1259.1	12	3.9	400
0	23.3	1150.2	12	3.8	400
0	26.1	732.6	12	4	400
0	19	885	12	3.5	400
23.4	18.8	1018.7	12	3.5	400
0	25.3	1069.9	12	4	400
13.5	27.1	1124	12	4.1	400
0	19.8	1049.6	12	3.7	400
1.3	19.4	1140.4	12	3.6	400
10	19.7	1161.7	12	3.7	400
15.8	28.7	980.1	12	4.3	400
0	20.8	941.3	12	3.8	400
0	25.8	1119.8	12	4.1	400
20.6	20.5	1321.7	12	3.8	400
29.2	26.1	1198.9	12	4.2	400
0	23.3	1048.7	12	4	400
13.1	24.1	1089.7	12	4.1	400
1	25.9	1218.9	12	4.2	400
3.9	22.6	1157.5	12	4	400
0	22.8	1121.1	12	4	400
0	23.5	1118.6	12	4.1	400
0	22	1244.8	12	4	400
0	24	1073.9	12	4.1	400
8.7	22.3	1098.1	12	4	400
0	26.6	1150.1	12	4.3	400
0	26.6	1009.4	12	4.4	400
7.1	20.7	960.7	12	3.9	400
0	23.9	946.7	12	4.2	400
0	26	1170.1	12	4.3	400
57.5	26.4	1085.2	12	4.4	400
0	24.3	1018.9	12	4.3	400
3	25.3	1180.4	12	4.3	400
0	24.4	1035.2	12	4.3	400
0	23.3	908.9	12	4.2	400
2.5	24.3	1123.4	12	4.3	400
3.8	21	1430.6	12	4.1	400
1.9	24	1106.3	12	4.3	400
3.6	23.5	1237.2	12	4.3	400
17	26.2	1335.4	12	4.5	400
25.5	24.7	1058.2	12	4.4	400
10.8	22.7	1273.4	12	4.2	400
16.6	25	1212.5	12	4.4	400
6.3	20.7	1265.3	12	4.1	400
1	20.8	1311.5	12	4.1	400
0	22.7	1117.1	12	4.3	400
3.1	22.6	1189.9	12	4.2	400
0	21.9	942.2	12	4.2	400
20.2	24.8	1204	12	4.4	400
0	29.2	1254.8	12	4.7	400
17.2	24.3	1062.3	12	4.4	400
0	21.4	1119.5	12	4.2	400
35	23.1	1058.6	12	4.3	400
0	23	1179.2	12	4.3	400
15.1	21.1	1253.3	12	4.2	400
0	25.2	1454.4	12	4.5	400
0	23.4	1294	12	4.4	400
22.6	28.2	1190.6	12	4.7	400
0	28.5	1126.5	12	4.7	400
22.4	21.5	1139.1	12	4.2	400
0	25.8	1176.9	12	4.5	400
20.9	28.2	1401.3	12	4.7	400
0	24	1048.9	12	4.4	400
5.1	22	1217.1	12	4.3	400
18.8	25.5	1246.4	12	4.5	400
0	23.3	1195.7	12	4.4	400
9.1	28.4	1273.7	12	4.8	400
0	23.3	1208.4	12	4.4	400
0	24.4	1123.2	12	4.5	400
20	23.1	1192.2	12	4.4	400
3	22.3	1041.5	12	4.3	400
0	26.7	1301.4	12	4.6	400
51.5	22.2	1232.9	12	4.3	400
0	23.2	1163.1	12	4.4	400
0	24.8	1143.7	12	4.5	400
0	25	1342.8	12	4.5	400
15.4	22.3	1316.3	12	4.3	400
0	23.7	1044.9	12	4.4	400
25.4	24	1119.8	12	4.5	400
3.1	23.2	1134.6	12	4.4	400
8.8	21.4	1203.8	12	4.3	400
0	22.6	1238.7	12	4.4	400
0.6	25.6	1107.2	12	4.6	400
13.3	22.5	1093.3	12	4.4	400
0	27.4	1115.5	12	4.7	400
0	20	1353.9	12	4.2	400
11.2	23.1	1424.5	12	4.4	400
9.2	26.7	993.1	12	4.7	400
0	24.5	1243.4	12	4.5	400
2.3	23.5	1224.6	12	4.4	400
39.4	20.3	1312.8	12	4.2	400
0	26.3	983.5	12	4.6	400
0	26.9	1330.7	12	4.7	400
0	23.7	1210.2	12	4.5	400
0	21	1032.9	12	4.2	400
2.2	26.4	1169.5	12	4.7	400
15.7	20.9	1092.1	12	4.2	400
0	23.7	1296.3	12	4.5	400
0	29.5	846	12	4.9	400
127.2	28.3	954.3	12	4.8	400
0	22.5	1230.1	12	4.4	400
0	25.7	1275.8	12	4.6	400
17.2	21.7	1312	12	4.3	400
104.8	21.5	1370.8	12	4.3	400
0	19.6	1103.3	12	4.1	400
0	25.8	1047.6	12	4.6	400
36.5	21.7	1081.1	12	4.3	400
0	25.2	1317.7	12	4.6	400
0.8	23.1	1056.7	12	4.4	400
2	21.6	1151.8	12	4.3	400
62.5	24.9	1251.1	12	4.5	400
11.5	25.4	1321.7	12	4.6	400
37.6	22.7	1166.6	12	4.4	400
0	28.1	1160.9	12	4.7	400
4.3	22.9	1252.1	12	4.4	400
30	23.7	973	12	4.4	400
0	21.6	1301.9	12	4.3	400
27.4	24.1	1406	12	4.4	400
0	23.5	1170.5	12	4.4	400
30.6	21.4	1121.6	12	4.2	400
12.2	23.1	1304.6	12	4.4	400
22.4	22.1	905.4	12	4.3	400
23.7	18.8	1328.1	12	4	400
0	21.2	1211.1	12	4.2	400
0	25.1	1166.8	12	4.5	400
16.8	22.3	1081.7	12	4.3	400
0	29.4	1281.3	12	4.8	400
0	25.8	1352	12	4.5	400
51.7	23.4	1319.9	12	4.4	400
0	18.4	1103.2	12	4	400
0	21.8	945	12	4.2	400
23.9	22.6	1203.3	12	4.3	400
0	24.7	1055.2	12	4.4	400
32.6	24.8	1242.3	12	4.4	400
0	21.9	1105.9	12	4.2	400
9.3	22.6	967	12	4.2	400
0	21.9	1152.5	12	4.2	400
6.6	28.1	1059.9	12	4.6	400
20.9	20.6	1267.5	12	4.1	400
21.5	23.6	1086.2	12	4.3	400
0	23.5	796.7	12	4.3	400
17.5	26.2	1088.2	12	4.5	400
18.1	23.1	1002.7	12	4.2	400
0	21.5	1151.6	12	4.1	400
20.6	26.5	875.4	12	4.5	400
70.9	22.2	1150	12	4.1	400
3.2	25.7	1146.5	12	4.4	400
0	22.6	1006.1	12	4.2	400
26.1	27.2	1149.7	12	4.5	400
6.9	26	1002.7	12	4.4	400
8.5	24.7	1214.7	12	4.3	400
19.3	26	1131.1	12	4.3	400
0	26.6	1022.8	12	4.4	400
9.6	28.8	958.4	12	4.5	400
14.9	21.8	962.3	12	4	400
16	22.7	1004	12	4.1	400
0	25.3	1170	12	4.2	400
24.5	24	1250.6	12	4.1	400
0	23.3	1316.6	12	4.1	400
26.2	25.2	1184.4	12	4.2	400
0	21.4	894.1	12	3.9	400
80.2	19.6	991.1	12	3.8	400
0	22.2	978.2	12	4	400
15.3	25.5	802.8	12	4.2	400
17.5	21.8	1080.3	12	3.9	400
0	20.6	1000.5	12	3.8	400
0	20.7	1142.1	12	3.8	400
24.3	23	1043.3	12	3.9	400
0	24.4	1148.4	12	4	400
0	28.1	1192.8	12	4.2	400
3.1	19.4	1128.7	12	3.6	400
0	25.3	803.6	12	4	400
0	21.1	996.1	12	3.7	400
101.8	25.7	885	12	4	400
26.2	23.5	978.7	12	3.9	400
43.9	23.5	686.6	12	3.8	400
0	25.8	1029.9	12	4	400
54.9	28.7	1100.9	12	4.1	400
0	22.5	1048.2	12	3.7	400
19.8	24.1	863.9	12	3.8	400
0	22.9	1037.5	12	3.7	400
0	23.4	979.2	12	3.7	400
11.4	22.2	897.3	12	3.6	400
0	21.7	837.5	12	3.6	400
1.3	25.7	997.6	12	3.8	400
1.9	27.3	924.5	12	3.9	400
43.6	22.2	1033.6	12	3.6	400
0	26.4	967.2	12	3.8	400
0	20.4	1019.2	12	3.4	400
35	24.4	953.8	12	3.7	400
0	21.9	872.8	12	3.5	400
6.3	22.2	949.5	12	3.5	400
0.9	24.4	877.3	12	3.6	400
0	22.7	1071.4	12	3.5	400
11.1	28.4	865.3	12	3.8	400
0	25.2	910	12	3.6	400
1	23.4	884.5	12	3.5	400
54.4	22.8	920	12	3.4	400
13.1	22.9	894.3	12	3.4	400
17.5	20.6	932.1	12	3.2	400
0	22.5	819.6	12	3.3	400
25.8	28.1	937.2	12	3.6	400
17	22.8	947.2	12	3.3	400
0	20.9	1010.5	12	3.2	400
31.4	28	986.6	12	3.6	400
12.5	22.7	894.6	12	3.3	400
0	21.4	866.7	12	3.2	400
3.1	24.5	1007	12	3.3	400
0	23.1	974.1	12	3.2	400
22.2	24.2	948.9	12	3.3	400
7.8	25.2	984.9	12	3.3	400
0	23.8	706.2	12	3.2	400
0	20.9	988.6	12	3	400
0	26.1	904.4	12	3.3	400
0	23.3	810	12	3.1	400
0	25.3	818.2	12	3.2	400
0	25.2	825.2	12	3.2	400
22	24.8	751.6	12	3.2	400
22.7	22.7	720.8	12	3	400
0	27.6	717.7	12	3.3	400
20.1	24.9	1063.4	12	3.1	400
6.8	18.7	892.4	12	2.7	400
5.4	20.4	848	12	2.8	400
3	24.2	796.2	12	3	400
11.8	25.5	748.2	12	3.1	400
0	23	866.2	12	2.9	400
18.2	24	854.8	12	3	400
2.2	19.5	795.6	12	2.7	400
18.3	24.9	1013.3	12	3	400
11.6	24.3	909.4	12	2.9	400
26.7	24	739.2	12	2.9	400
8.1	22.6	708.6	12	2.8	400
0	25.8	918.1	12	2.9	400
70.9	23.7	1056.7	12	2.8	400
0	26.2	954.9	12	2.9	400
58.2	24.8	903.4	12	2.9	400
37	30.1	756.2	12	3.1	400
6.7	22	742.5	12	2.7	400
0	24.2	812.1	12	2.8	400
0.4	27	711.2	12	2.9	400
0	23.4	880.3	12	2.7	400
2.4	25.3	846.1	12	2.8	400
24.3	22	899.1	12	2.6	400
14.8	26.4	749.4	12	2.8	400
55.7	23.6	940.3	12	2.7	400
3.5	22.3	916.5	12	2.6	400
0	25.7	851.7	12	2.8	400
14.2	25.2	784.1	12	2.7	400
0	23	929.7	12	2.6	400
0	26.2	770.2	12	2.8	400
10.3	23.3	759.2	12	2.6	400
0	24.1	953.9	12	2.6	400
10.5	29.4	687.3	12	2.9	400
0	26	881	12	2.7	400
0	28.7	665.1	12	2.8	400
11.1	24.2	920.3	12	2.6	400
33.5	22.6	739.7	12	2.5	400
11.2	27.8	644.9	12	2.8	400
0	23.3	701.2	12	2.6	400
25.1	27.5	979.1	12	2.7	400
21	26.5	923.9	12	2.7	400
8.2	27.6	908.9	12	2.7	400
37.2	24.2	866.5	12	2.6	400
3.5	24.4	861.6	12	2.6	400
0	27.4	794.3	12	2.7	400
0	24.4	830.6	12	2.6	400
9	25.2	809.6	12	2.6	400
0	22.9	752.3	12	2.5	400
16.5	25.1	809.7	12	2.6	400
0	28.6	749.5	12	2.8	400
9.2	24.9	752.7	12	2.6	400
7.1	21.6	802.6	12	2.4	400
6.9	19.6	790.3	12	2.4	400
0	22.6	729.3	12	2.5	400
0	25.1	829.8	12	2.6	400
0	25	823.8	12	2.6	400
27.7	21.7	755	12	2.5	400
0	24	867.9	12	2.6	400
2.7	24.8	779.9	12	2.6	400
0	23.7	858.8	12	2.6	400
3.3	26.2	878.1	12	2.7	400
0	26.9	723.7	12	2.7	400
4.5	24.2	959.6	12	2.6	400
0	23.2	785.8	12	2.6	400
0	22.2	1004.5	12	2.5	400
8.3	23	593.6	12	2.6	400
5.5	20.6	887.3	12	2.4	400
8.7	22.3	804	12	2.5	400
22.4	27.5	866.6	12	2.8	400
0	27.8	856.7	12	2.8	400
1.9	24.2	698.7	12	2.6	400
0	25.7	859.6	12	2.7	400
21.4	25.9	930	12	2.7	400
19.2	23.5	680.5	12	2.6	400
0	23.5	756.4	12	2.6	400
2.4	23.8	1044.9	12	2.7	400
11.5	25.2	928.7	12	2.7	400
23	23.3	825.6	12	2.7	400
3	24.5	890.3	12	2.7	400
0	24.8	743.5	12	2.8	400
1.5	25.2	794.7	12	2.8	400
4	23.6	836.2	12	2.7	400
0	28.3	882.4	12	3	400
0	22.7	745	12	2.7	400
10.2	21.4	891.9	12	2.7	400
32.1	23.6	690.1	12	2.8	400
5.3	25	875	12	2.9	400
13.9	22.2	773.1	12	2.7	400
14.9	24.8	975.4	12	2.9	400
0.8	26.5	952.3	12	3	400
0	23.2	876.9	12	2.8	400
15.4	25.7	972.1	12	3	400
15.6	25.5	862.7	12	3	400
18.4	20	987.5	12	2.7	400
0	23.2	897.8	12	2.9	400
4.4	22.6	1036.9	12	2.9	400
10	27.1	857.1	12	3.1	400
0	23.8	1018.3	12	3	400
28.5	24.9	901.7	12	3	400
2.1	21.1	804.8	12	2.9	400
0	19.1	871.9	12	2.8	400
4.6	27.9	980.3	12	3.2	400
2.8	29.1	1041.9	12	3.3	400
0	23.7	881.4	12	3.1	400
5.2	28	1032.9	12	3.3	400
8.8	23.9	746.7	12	3.1	400
5.4	26.9	854.5	12	3.3	400
0	20.9	898.9	12	3	400
12.7	23.8	868.3	12	3.1	400
0	25.3	949.3	12	3.2	400
14.8	24.4	827.5	12	3.2	400
5.5	25.9	1168.4	12	3.3	400
0.2	23.3	887.5	12	3.2	400
0	23.8	913.6	12	3.2	400
7.2	25.2	832.8	12	3.3	400
3.9	23.3	993.9	12	3.2	400
0	24.1	907.5	12	3.3	400
0	23.5	1013	12	3.3	400
7.9	26.6	836.8	12	3.5	400
0.3	27.5	1155.1	12	3.6	400
0	18.8	862.5	12	3.1	400
8.4	20.7	975.1	12	3.2	400
36.3	23.3	855.2	12	3.4	400
13.9	24.4	919.3	12	3.5	400
0	23.6	962.1	12	3.4	400
4.6	24.4	806.9	12	3.5	400
1	22.8	1006.9	12	3.4	400
17.4	22.5	960.2	12	3.4	400
0	18.3	1043.7	12	3.2	400
18.4	21.6	965.1	12	3.4	400
0	25	954.6	12	3.6	400
5.6	25.4	914.1	12	3.7	400
0	23.6	1014.8	12	3.6	400
37.6	25.9	775	12	3.7	400
4.4	24	1177.8	12	3.6	400
4.4	21.6	1144.1	12	3.5	400
0	21.1	1119.8	12	3.5	400
0.4	24.3	1038.6	12	3.7	400
16.7	22.6	969.9	12	3.6	400
2.6	25.4	1147.5	12	3.8	400
0	18.9	954.2	12	3.4	400
23.9	25.8	1097.9	12	3.9	400
0	27.3	1081.3	12	4	400
0	21.7	946.2	12	3.6	400
1.1	21.9	977.8	12	3.7	400
7.8	19.8	949.5	12	3.5	400
0	27.5	953.7	12	4.1	400
12.2	26	954.7	12	4	400
0	28.1	996.7	12	4.1	400
0	24.8	1010.4	12	3.9	400
1.9	25.4	982.4	12	4	400
20.2	22.2	1075.6	12	3.8	400
15.2	27.6	945.8	12	4.2	400
0	23.2	1100.7	12	3.9	400
15	23	977.3	12	3.9	400
5.4	24.7	1166.6	12	4	400
11.8	25.1	950.8	12	4.1	400
8.4	23.9	1130.8	12	4	400
11.2	25.5	1073.2	12	4.1	400
0	27.8	983.9	12	4.3	400
14.4	24.4	949	12	4.1	400
0	18.8	1161.4	12	3.7	400
0	26	1243.3	12	4.2	400
11.4	26	1128.5	12	4.2	400
0	19.9	1184.3	12	3.8	400
0.7	21.8	1130.2	12	4	400
4.9	23.2	1123.1	12	4.1	400
0	24.3	1222.6	12	4.2	400
47.4	21.9	1259.7	12	4	400
0	17.7	1129.4	12	3.7	400
13.1	20.3	1187.5	12	3.9	400
0	27.9	1060.9	12	4.4	400
0	22.3	1079.1	12	4.1	400
14.7	24.9	1240.8	12	4.3	400
0	26.3	1127.7	12	4.4	400
7.1	24.1	1020.1	12	4.2	400
0	23.5	1032.8	12	4.2	400
0	26	1133	12	4.4	400
1.6	23.5	1259.6	12	4.2	400
3.2	26.2	1099.8	12	4.4	400
27.7	23.8	1148	12	4.3	400
0	20.7	1145.6	12	4	400
13.9	23.9	1097.6	12	4.3	400
0	23	1314.5	12	4.2	400
5	23	1133.4	12	4.2	400
12.8	27	1206.5	12	4.5	400
0	17.6	1135.3	12	3.8	400
0	21.8	1052.5	12	4.2	400
5.3	20.9	1129.7	12	4.1	400
0	20.9	1110.9	12	4.1	400
1.7	22	1176.1	12	4.2	400
20.1	29.1	1229.2	12	4.7	400
0	24	1311	12	4.4	400
3.5	25.2	1164.8	12	4.4	400
0	23	1078.6	12	4.3	400
4.1	20.5	1085.8	12	4.1	400
41.1	19.9	1236.7	12	4.1	400
68.5	23	1076.3	12	4.3	400
20.3	22.1	1172.6	12	4.3	400
0	20.2	1284.7	12	4.1	400
40.2	21.2	1199.1	12	4.2	400
0.2	23.1	1186.1	12	4.3	400
9	20.2	1142.1	12	4.1	400
0	23.8	1150	12	4.4	400
55.5	22.3	991.7	12	4.3	400
0	22.8	994.2	12	4.3	400
42.4	26.2	1142.8	12	4.6	400
0	28.5	1083.1	12	4.7	400
0	23.6	912.3	12	4.4	400
13.7	26	1350.2	12	4.6	400
0	27.6	1035.8	12	4.7	400
0.8	24	1208.1	12	4.4	400
0	28.1	994.6	12	4.7	400
0	25.5	1188.6	12	4.6	400
0	24.5	1278.6	12	4.5	400
61.4	25.2	1068.7	12	4.5	400
0	23.9	1063.7	12	4.4	400
2.3	25.2	1273.9	12	4.5	400
0	26.3	957.8	12	4.6	400
19	23.1	1118	12	4.4	400
0	27.7	1154	12	4.7	400
1.8	20.3	1284.7	12	4.2	400
0	26.6	1190.9	12	4.7	400
0	21.9	1109.5	12	4.3	400
3.4	22.2	1091	12	4.3	400
0	19.4	1063.7	12	4.1	400
0	25.9	1124.2	12	4.6	400
0	23.4	1110.9	12	4.4	400
3.3	26.1	1270.3	12	4.6	400
0	22.5	1158	12	4.4	400
15.5	23.3	1101.1	12	4.4	400
0	21.1	1086.2	12	4.3	400
4.3	26.2	1040.2	12	4.6	400
0	19.5	1202.9	12	4.1	400
0	27	1286.6	12	4.7	400
7.3	25.2	1075.2	12	4.6	400
15.3	28.7	1277.5	12	4.8	400
7.3	22	1178.8	12	4.3	400
7.1	22.5	1367.2	12	4.4	400
0	23.3	1133.4	12	4.4	400
4.9	19.9	1212.6	12	4.2	400
0	22.3	1111.9	12	4.3	400
0	25.7	1210.6	12	4.6	400
63.8	22	1152.8	12	4.3	400
0	22.1	1364.1	12	4.3	400
2.2	27.5	1492.1	12	4.7	400
62.4	20.4	1283.6	12	4.2	400
91.1	24.3	1161.2	12	4.5	400
6.7	25.8	1205.5	12	4.6	400
0	22.7	1183.2	12	4.4	400
0.4	20.7	1037.9	12	4.2	400
6.7	24	1023.2	12	4.5	400
0	21.8	1018.2	12	4.3	400
0	27	1065.4	12	4.7	400
0	22.9	1119.4	12	4.4	400
40.4	22.9	1095.7	12	4.4	400
5.9	26.2	1112.1	12	4.6	400
29.9	20.7	989.1	12	4.2	400
0	25.3	1161	12	4.5	400
13.5	30.1	977.8	12	4.9	400
12.7	19.8	1054.7	12	4.1	400
4.6	25.2	1147.4	12	4.5	400
0	27	1155.1	12	4.7	400
11.1	22.6	1115.4	12	4.3	400
0	22.8	1274.7	12	4.3	400
0	23.5	1421.7	12	4.4	400
1.6	22.1	1153.7	12	4.3	400
15.8	20.3	1081.9	12	4.1	400
0	24.9	1226.4	12	4.5	400
15.6	24.9	1212	12	4.5	400
22.6	24.9	1209.3	12	4.5	400
0	25.2	1057.9	12	4.5	400
20.3	24.5	1221.7	12	4.4	400
64.9	24.4	1024.5	12	4.4	400
0	27.5	1082.7	12	4.6	400
0	17.8	1062.2	12	3.9	400
0	25	1305.9	12	4.5	400
19.4	24.4	1226.6	12	4.4	400
0	23.5	1236.1	12	4.3	400
14.1	22.9	1128.2	12	4.3	400
0	24.2	1206.4	12	4.4	400
151.4	24.4	1297.7	12	4.4	400
0	20.1	1027.5	12	4	400
0	24.6	1131.1	12	4.4	400
4.9	27.2	1088.8	12	4.6	400
7.5	19.8	1289.3	12	4	400
0	23	1091.2	12	4.2	400
14.1	27.5	1078.8	12	4.5	400
0	29	1372.5	12	4.6	400
3.9	22	1067.7	12	4.1	400
0	23.6	1192.7	12	4.2	400
15.6	24.1	1051	12	4.3	400
3	24.8	964.3	12	4.3	400
31.9	21.8	1055.5	12	4.1	400
0	23.7	1104.7	12	4.2	400
25.5	22.4	1027.4	12	4.1	400
20.9	23	968.8	12	4.1	400
1	23.4	1256.9	12	4.2	400
0	22.2	1223.7	12	4.1	400
18.6	25.9	1170.9	12	4.3	400
0	20.6	1091.5	12	3.9	400
39.8	27.1	994.7	12	4.4	400
2.4	21.5	935.2	12	4	400
0	20.1	988.6	12	3.8	400
35.4	23.3	964.7	12	4.1	400
0	23.2	980.4	12	4	400
11	21.3	1132	12	3.9	400
5.7	21.3	1172.2	12	3.9	400
0	25	1083.4	12	4.1	400
0	28.3	1232.4	12	4.3	400
9.7	24.5	1149.7	12	4.1	400
2	28.1	880.6	12	4.3	400
0	23.9	976.2	12	4	400
36.6	23.2	1159.8	12	3.9	400
0	24.4	1051.1	12	4	400
5.5	25.1	987.5	12	4	400
0	25.1	1022.8	12	4	400
9	24.9	931.9	12	4	400
0.1	19.8	1004.1	12	3.6	400
0	26.3	1174.3	12	4	400
64.1	21.4	1190.2	12	3.7	400
45.8	25.9	964.3	12	4	400
0	25.8	1224	12	4	400
22.8	26.9	990.9	12	4	400
14.2	24.6	1210.8	12	3.9	400
0	26.5	909.1	12	4	400
13.2	20.7	976.3	12	3.6	400
0	23.1	854.5	12	3.7	400
17	26.9	1167	12	3.9	400
0	28.9	1094.9	12	4	400
0	27.3	955	12	3.9	400
16.5	25.5	920.3	12	3.8	400
4.4	23	907.3	12	3.6	400
6	26.4	901	12	3.8	400
1.4	26.8	1006.8	12	3.8	400
0	22.3	942.4	12	3.5	400
5.5	21.1	1025.2	12	3.4	400
39.1	23.4	1090.8	12	3.5	400
0	23.7	935.3	12	3.5	400
1	22.9	1051.9	12	3.5	400
0	24.7	1057.8	12	3.6	400
0	27.4	979.1	12	3.7	400
15.9	21.2	953.4	12	3.3	400
9.7	23.6	988.6	12	3.4	400
0	22.6	886.8	12	3.4	400
38	28.9	939.7	12	3.7	400
0	22.1	919.4	12	3.3	400
0	20.9	1059	12	3.2	400
17.1	25	768.5	12	3.4	400
0	21.2	828.9	12	3.2	400
4.8	25.3	894.1	12	3.4	400
11.5	22	789.2	12	3.2	400
11.2	27	778.4	12	3.5	400
0	25.4	836.8	12	3.3	400
5.2	27.3	791.4	12	3.4	400
0	24.4	751.2	12	3.3	400
0	24.2	869.5	12	3.2	400
25.1	23.1	942.4	12	3.1	400
5.3	25.4	912.1	12	3.3	400
0	24.7	837.5	12	3.2	400
0	25.3	831	12	3.2	400
16	25.9	687.6	12	3.2	400
4	25.8	1024.9	12	3.2	400
0	24.1	816	12	3.1	400
22.6	27.6	908.8	12	3.3	400
33.3	25.1	843.1	12	3.1	400
0	26.7	720.8	12	3.2	400
23.9	22.6	850.4	12	2.9	400
34	22.8	896.9	12	2.9	400
0	25.2	789.1	12	3	400
14.3	25.5	768	12	3	400
0	22.9	878.6	12	2.9	400
7.5	19.5	944.3	12	2.7	400
0	22	933	12	2.8	400
0	25.5	802.5	12	3	400
16	23.7	945.2	12	2.9	400
2.8	23	760.1	12	2.8	400
0	22.6	788	12	2.8	400
17.4	22.7	702.4	12	2.8	400
0	24	786.4	12	2.8	400
1.4	20	768.2	12	2.6	400
9.2	23	871.2	12	2.8	400
9.7	23.2	802.9	12	2.8	400
0	24	881.8	12	2.8	400
29.9	24.9	590.3	12	2.8	400
5.1	25.4	816.9	12	2.8	400
0	18.8	935.5	12	2.5	400
26.9	23.9	765.9	12	2.7	400
10.4	18.9	733.7	12	2.5	400
19.2	23.4	886.3	12	2.7	400
33.6	23.5	847.8	12	2.7	400
0	27.4	801.2	12	2.8	400
6.3	25.3	735.3	12	2.7	400
8.7	28.8	566.2	12	2.9	400
8.1	22.6	693.9	12	2.6	400
0	21.7	775.8	12	2.5	400
9.6	32	653.5	12	3	400
0	18.7	851.3	12	2.4	400
15.4	23.7	890.9	12	2.6	400
0	23.5	848	12	2.6	400
62.3	26.2	921.9	12	2.7	400
1.9	24	897.2	12	2.6	400
0	19.7	746.2	12	2.4	400
0.5	26.1	876.4	12	2.7	400
0	23.7	888.5	12	2.6	400
4.4	28.7	654.9	12	2.8	400
0	23.5	722.4	12	2.6	400
0	23.7	909.5	12	2.6	400
26.2	22.8	635.5	12	2.5	400
0	23.5	812.4	12	2.5	400
1.5	19.3	705.9	12	2.3	400
0	25	698.8	12	2.6	400
6.2	22.2	837.5	12	2.5	400
0	18.6	812.1	12	2.3	400
52	27.7	936.9	12	2.7	400
0	27.9	623.6	12	2.7	400
0	24.5	870.9	12	2.6	400
38	21.3	924	12	2.4	400
